OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
1,98001,98001,033,Standard,King County,AUBURN,147536.710308181,525368924.161137
2,98002,98002,033,Standard,King County,AUBURN,104440.08717071,205302754.220433
3,98003,98003,033,Standard,King County,FEDERAL WAY,123733.570612329,316942629.489031
4,98004,98004,033,Standard,King County,BELLEVUE,99325.9517346243,250745415.523206
5,98005,98005,033,Standard,King County,BELLEVUE,116554.738075839,211433669.433856
6,98006,98006,033,Standard,King County,BELLEVUE,94894.7545476842,344685350.598946
7,98007,98007,033,Standard,King County,BELLEVUE,113051.217813629,115966943.757304
8,98008,98008,033,Standard,King County,BELLEVUE,92469.3973221409,221074225.472233
9,98010,98010,033,Standard,King County,BLACK DIAMOND,131813.740883378,519142696.151439
10,98011,98011,033,Standard,King County,BOTHELL,73516.7892774212,197687795.728163
11,98011,98011,061,Standard,Snohomish County,BOTHELL,2747.26621153566,152891.770401464
12,98012,98012,061,Standard,Snohomish County,BOTHELL,114116.470117549,421408231.421983
13,98014,98014,033,Standard,King County,CARNATION,231918.455317527,1159838487.72748
14,98019,98019,033,Standard,King County,DUVALL,313474.001917811,3188086070.76938
15,98019,98019,061,Standard,Snohomish County,DUVALL,7976.11143896636,2266669.88920626
16,98020,98020,061,Standard,Snohomish County,EDMONDS,92391.2763170023,502335637.342061
17,98021,98021,061,Standard,Snohomish County,BOTHELL,104213.535596596,273401378.925255
18,98022,98022,033,Standard,King County,ENUMCLAW,736008.178936555,11360773691.5761
19,98022,98022,053,Standard,Pierce County,ENUMCLAW,295979.59225798,2507633660.90162
20,98023,98023,033,Standard,King County,FEDERAL WAY,112480.158920822,514915542.792412
21,98024,98024,033,Standard,King County,FALL CITY,364856.94394029,2193499469.36046
22,98026,98026,061,Standard,Snohomish County,EDMONDS,142218.853125343,466680527.158655
23,98027,98027,033,Standard,King County,ISSAQUAH,278132.217779841,1610081217.52409
24,98028,98028,033,Standard,King County,KENMORE,71170.2388945362,199436427.428728
25,98029,98029,033,Standard,King County,ISSAQUAH,113202.907015115,276232268.28049
26,98030,98030,033,Standard,King County,KENT,93284.5640156458,200650833.882515
27,98031,98031,033,Standard,King County,KENT,114217.447834272,228130484.775558
28,98032,98032,033,Standard,King County,KENT,164035.294342791,475767827.425032
29,98033,98033,033,Standard,King County,KIRKLAND,100570.211653508,332254508.401261
30,98034,98034,033,Standard,King County,KIRKLAND,101657.24968094,325221325.601767
31,98036,98036,061,Standard,Snohomish County,LYNNWOOD,111912.218321298,267158094.932548
32,98037,98037,061,Standard,Snohomish County,LYNNWOOD,78136.4159390061,168863901.907376
33,98038,98038,033,Standard,King County,MAPLE VALLEY,313202.919817769,1641555613.27197
34,98039,98039,033,Standard,King County,MEDINA,61260.479812142,155180171.603387
35,98040,98040,033,Standard,King County,MERCER ISLAND,86242.1868291479,355630909.013455
36,98042,98042,033,Standard,King County,KENT,207817.018228616,768020167.104688
37,98043,98043,061,Standard,Snohomish County,MOUNTLAKE TERRACE,46970.6897693763,115804612.755818
38,98045,98045,033,Standard,King County,NORTH BEND,644167.770884012,8056672357.58583
39,98047,98047,033,Standard,King County,PACIFIC,41797.6000609578,48811898.0288285
40,98047,98047,053,Standard,Pierce County,PACIFIC,19617.6567068012,19086267.1138798
41,98050,98050,033,PO Box,King County,PRESTON,62720.6505376446,39535965.416242
42,98051,98051,033,Standard,King County,RAVENSDALE,212924.686750629,1151477138.31905
43,98052,98052,033,Standard,King County,REDMOND,163384.996050399,569645715.488623
44,98053,98053,033,Standard,King County,REDMOND,200161.142858253,773072520.77273
45,98055,98055,033,Standard,King County,RENTON,67775.2383256338,124865108.809671
46,98056,98056,033,Standard,King County,RENTON,89829.6382845739,234151633.620779
47,98057,98057,033,Standard,King County,RENTON,88903.8563386043,189527607.310457
48,98058,98058,033,Standard,King County,RENTON,172731.987555946,627099573.342113
49,98059,98059,033,Standard,King County,RENTON,146767.839704201,462310927.543556
50,98065,98065,033,Standard,King County,SNOQUALMIE,352239.4072057,2405166820.23225
51,98068,98068,033,PO Box,King County,SNOQUALMIE PASS,12574.0267462685,2805831.87750898
52,98068,98068,037,PO Box,Kittitas County,SNOQUALMIE PASS,220130.818473637,1770029111.04895
53,98070,98070,033,Standard,King County,VASHON,205883.685390716,2275005193.62346
54,98072,98072,033,Standard,King County,WOODINVILLE,118799.19759041,368821005.64032
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,76667.7800054902,151104512.309839
56,98074,98074,033,Standard,King County,SAMMAMISH,116931.361571764,375956895.249916
57,98075,98075,033,Standard,King County,SAMMAMIISH,133199.080851259,335994901.410963
58,98077,98077,033,Standard,King County,WOODINVILLE,116788.248812536,419638041.956836
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,50110.1240030627,75926072.5352454
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,68003.5198361596,156580450.322233
61,98092,98092,033,Standard,King County,AUBURN,265529.756898738,1212840831.55452
62,98092,98092,053,Standard,Pierce County,AUBURN,35442.1006436835,46332629.6280578
63,98101,98101,033,Standard,King County,SEATTLE,34566.3585754957,24474540.8319512
64,98102,98102,033,Standard,King County,SEATTLE,37668.9111698399,43645701.3032721
65,98103,98103,033,Standard,King County,SEATTLE,72870.5817010022,144127888.138011
66,98104,98104,033,Standard,King County,SEATTLE,43659.0122811153,38633223.5497395
67,98105,98105,033,Standard,King County,SEATTLE,85254.5579466734,149631284.399659
68,98106,98106,033,Standard,King County,SEATTLE,88088.3193273651,152521021.020336
69,98107,98107,033,Standard,King County,SEATTLE,48678.0388246801,67176157.9126343
70,98108,98108,033,Standard,King County,SEATTLE,85360.9197396897,215670363.668552
71,98109,98109,033,Standard,King County,SEATTLE,41041.9420707923,66380417.1375811
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,191012.616385228,1852123613.1412
73,98112,98112,033,Standard,King County,SEATTLE,54461.9308155549,140880091.083252
74,98115,98115,033,Standard,King County,SEATTLE,86818.8042370991,243315467.461348
75,98116,98116,033,Standard,King County,SEATTLE,85561.8057055318,370392295.093831
76,98117,98117,033,Standard,King County,SEATTLE,72148.6931203946,178090038.530276
77,98118,98118,033,Standard,King County,SEATTLE,88033.8474319948,256313556.078101
78,98119,98119,033,Standard,King County,SEATTLE,55242.3316200709,112043086.312315
79,98121,98121,033,Standard,King County,SEATTLE,27576.7957467462,27840398.0449
80,98122,98122,033,Standard,King County,SEATTLE,57417.4616015385,89240661.9753306
